"","ch_edaphic_eivdescombes_pixel_d","ch_edaphic_eivdescombes_pixel_f","ch_edaphic_eivdescombes_pixel_h","ch_edaphic_eivdescombes_pixel_k","ch_edaphic_eivdescombes_pixel_l","ch_edaphic_eivdescombes_pixel_n","ch_edaphic_eivdescombes_pixel_r","ch_edaphic_eivdescombes_pixel_w","meanEVI_annualmax_2017_2021","meanEVI_annualmean_2017_2021","meanEVI_annualmedian_2017_2021","meanEVI_annualmin_2017_2021","meanEVI_annualrange_2017_2021","meanEVI_annualstd_2017_2021","meanGCI_annualmax_2017_2021","meanGCI_annualmean_2017_2021","meanGCI_annualmedian_2017_2021","meanGCI_annualmin_2017_2021","meanGCI_annualrange_2017_2021","meanGCI_annualstd_2017_2021","gdd0Y_8110_LV95","gdd3Y_8110_LV95","gdd5Y_8110_LV95","AI_8110_LV95","bio1_t_8110_LV95","bio2_tdr_8110_LV95","bio3_tiso_8110_LV95","bio4_ts_8110_LV95","bio5_tmaxw_8110_LV95","bio6_tminc_8110_LV95","bio7_tar_8110_LV95","bio8_twetq_8110_LV95","bio9_tdryq_8110_LV95","bio10_twarmq_8110_LV95","bio11_tcoldq_8110_LV95","bio12_p_8110_LV95","bio13_pwet_8110_LV95","bio14_pdry_8110_LV95","bio15_ps_8110_LV95","bio16_pwetq_8110_LV95","bio17_pdryq_8110_LV95","bio18_pwarmq_8110_LV95","bio19_pcoldq_8110_LV95","etpY_8110_LV95","east_mean","eastSlope_mean","mnt_mean","north_mean","northSlope_mean","roughness_mean","slope_mean","TPI_mean","TRI_mean","CanopyVaud2m_max","CanopyVaud2m_mean","CanopyVaud2m_median","CanopyVaud2m_min","CanopyVaud2m_sd","ForetBuissannante_prop","ForetClairsemee_prop","ForetDense_prop","Glacier_prop","RocheMeubler_prop","Rocks_Min80Per_prop","ZHumide_prop","sradY","SCD15_final","SCD40_final"
"162",2.09755825996399,3.15498352050781,3.41583776473999,2.97201728820801,3.52374291419983,2.85429263114929,6.22681379318237,1.84716403484344,79763999,14552500,12900000,-2547500,96367504,20077500,82352496,25675000,21030000,-8205000,90555000,28137500,2302.10009765625,1548.19995117188,1133.30004882812,18,5.5,7.90000009536743,33,597,18.7999992370605,-5,23.8999996185303,13,1,13,-1.39999997615814,1693.5,172.899993896484,120.5,13.3000001907349,504.899993896484,372.5,504.899993896484,397.600006103516,336.200012207031,-0.969424903392792,-0.349587023258209,1654.34753417969,0.239249616861343,0.0862420052289963,0.961113810539246,21.1408042907715,0.00063323974609375,0.307644307613373,0.422119140625,0.33367919921875,0.2962646484375,0.265869140625,0.0649470239877701,0,0,0,0,0,0,0,62685.1796875,125,122
"163",2.37783789634705,3.00386214256287,3.32511830329895,3.02438712120056,3.17996835708618,2.78468036651611,6.32598352432251,1.67657160758972,51617998,7537500,7067500,-33460000,65240000,15590000,82660000,23755000,5330000,-12782500,95445000,31905000,2328.39990234375,1570.09997558594,1152.09997558594,19,5.59999990463257,7.90000009536743,33.0999984741211,597.799987792969,18.8999996185303,-5,23.8999996185303,13,1.10000002384186,13,-1.29999995231628,1647.19995117188,168.300003051758,116.599998474121,13.3999996185303,492.100006103516,362.399993896484,492.100006103516,384.600006103516,329.100006103516,-0.984376549720764,-0.537662029266357,1647.32250976562,0.175410896539688,0.0960453003644943,1.48221838474274,33.1262130737305,-0.03656005859375,0.498333394527435,0.0955810546875,0.023895263671875,0,0,0.04779052734375,0,0,0,0,0,0,0,65812.828125,121,121
"164",2.09743928909302,3.00183415412903,3.43216943740845,3.02558898925781,3.52836680412292,2.81304883956909,6.11121034622192,1.80996763706207,44502002,12477500,13695000,-18457500,59647500,12192500,87465000,30420000,28032500,-4772500,92237504,29230000,2464.89990234375,1685.30004882812,1252.40002441406,25,6.09999990463257,8,33.2000007629395,604.099975585938,19.6000003814697,-4.5,24.1000003814697,13.6999998092651,1.70000004768372,13.6999998092651,-1,1452.40002441406,147.899993896484,101.199996948242,13.8000001907349,437,319.299987792969,437,334.200012207031,378,0.995084583759308,0.396799504756927,1530.73999023438,0.0587610453367233,0.0227495245635509,0.973347961902618,23.4990749359131,0.0277900695800781,0.335971415042877,0,0,0,0,0,0,0,0,0,0,0,0,70498.0703125,111,108
"165",2.05995583534241,3.12688112258911,3.5395495891571,2.94049096107483,3.11227798461914,2.89013957977295,6.06105709075928,1.81405973434448,189218008,18185000,13197500,-4490000,234910000,43405000,66017500,22632500,21382500,-7302500,73320000,23285000,2533.39990234375,1743.5,1303.30004882812,20,6.30000019073486,8,33.0999984741211,606.299987792969,19.7999992370605,-4.40000009536743,24.2000007629395,13.8999996185303,1.79999995231628,13.8999996185303,-0.800000011920929,1420.80004882812,144.5,98.6999969482422,13.8999996185303,428.200012207031,312.399993896484,428.200012207031,325.899993896484,309.299987792969,0.529797911643982,0.208937466144562,1492.01501464844,0.846940755844116,0.333096027374268,1.21445035934448,23.1827964782715,0.0271720886230469,0.341671407222748,0,0,0,0,0,0,0,0.310000002384186,0,0,0,0,60029.34375,109,86
"167",2.91762375831604,2.63593053817749,2.91021728515625,3.34440994262695,3.84079265594482,2.3851170539856,6.611083984375,1.64016234874725,25193999,10632500,11515000,-14820000,40315000,10635000,73135000,26440000,24172500,-7627500,80760000,28137500,1984,1286.09997558594,910,20,4.40000009536743,7.69999980926514,32.7999992370605,584.599975585938,17.3999996185303,-6.09999990463257,23.5,11.6999998092651,0,11.6999998092651,-2.29999995231628,1683.90002441406,174.5,117.300003051758,14.3999996185303,509.100006103516,369.100006103516,509.100006103516,385,348.5,-0.649090111255646,-0.266805768013,1753.76501464844,-0.758800446987152,-0.313655495643616,1.36778426170349,24.3662033081055,0.0450057983398438,0.359859883785248,0,0,0,0,0,0,0,0,0,0,0,0,79198.5,113,110
"168",2.19357514381409,3.09413313865662,3.53665661811829,2.97255206108093,3.37374973297119,2.73198962211609,6.09378957748413,1.82073640823364,54913999,10675000,9817500,-8250000,67447504,14100000,68280000,22470000,20505000,-7900000,76182496,25645000,2365.80004882812,1601,1179,24,5.80000019073486,7.80000019073486,33,598.900024414062,19,-4.80000019073486,23.7999992370605,13.1999998092651,1.29999995231628,13.1999998092651,-1.20000004768372,1401.59997558594,142.899993896484,96.9000015258789,14.1999998092651,424,307.200012207031,424,320.399993896484,356.5,-0.946093142032623,-0.406698137521744,1605.55004882812,0.323138117790222,0.138799145817757,1.30776643753052,25.4601039886475,0.0031280517578125,0.399022430181503,0.163330078125,0.053253173828125,0.0220947265625,0,0.07597366720438,0.529999971389771,0,0,0,0,0,0,65080.109375,117,116
"169",2.09344696998596,3.10009551048279,3.54760384559631,2.91506052017212,3.05537819862366,2.96026492118835,6.10059928894043,1.77016735076904,498823984,26290000,18242500,-155030000,696654976,116895000,104802496,38087500,44315000,-26062500,130862496,3e+07,2692.30004882812,1879,1422,26,6.90000009536743,8.19999980926514,33.2000007629395,616.299987792969,20.6000003814697,-4,24.6000003814697,14.5,2.5,14.5,-0.400000005960464,1362.40002441406,138.399993896484,93.9000015258789,14.1999998092651,412.200012207031,299.299987792969,412.200012207031,310.399993896484,379.200012207031,-0.328976511955261,-0.102895066142082,1368.7275390625,0.930706560611725,0.288832455873489,0.955579996109009,18.0949001312256,-0.0609550476074219,0.273342549800873,0,0,0,0,0,0,0,0.239999994635582,0,0,0,0,63712.80859375,101,93
"172",2.22685480117798,3.07480812072754,3.47210645675659,2.93570947647095,3.34813451766968,2.79388928413391,6.12918710708618,1.73169362545013,159975996,13262500,14482500,-8080000,41887500,10610000,74050000,25440000,18795000,-6752500,80805000,27292500,2333.5,1575.69995117188,1157.5,22,5.69999980926514,8.30000019073486,34,599.5,19.2000007629395,-5.19999980926514,24.3999996185303,13.1999998092651,1.10000002384186,13.1999998092651,-1.29999995231628,1501.40002441406,154.300003051758,104.699996948242,14,451.600006103516,331,451.600006103516,344,344.100006103516,0.450761944055557,0.114478319883347,1649.13244628906,0.857680797576904,0.221623480319977,0.779975056648254,14.9591732025146,0.0706253051757812,0.266386240720749,0.200927734375,0.13153076171875,0.16259765625,0,0.0909212455153465,0,0,0,0,0,0,0,66693.25,124,122
"173",3.42240262031555,2.6056547164917,2.43674492835999,3.37905263900757,3.90620064735413,2.3140275478363,6.84344720840454,1.58870124816895,12744000,1250000,5815000,-81637504,94122496,19330000,15405000,5395000,4737500,-3272500,18682500,5617500,1949.40002441406,1257.59997558594,886.299987792969,21,4.40000009536743,7.90000009536743,33.5999984741211,577.700012207031,17.2999992370605,-6.19999980926514,23.5,11.6000003814697,-0.100000001490116,11.6000003814697,-2.20000004768372,1788.19995117188,178.600006103516,120.400001525879,13.1999998092651,527.5,389.700012207031,527.5,444.200012207031,384.799987792969,-0.0540971532464027,-0.0232804715633392,1714.43249511719,-0.989205658435822,-0.430238217115402,1.38886177539825,25.7978572845459,-0.00500869750976562,0.491514414548874,0,0,0,0,0,0,0,0,0,1,0,0,89446.0703125,99,91
"174",3.24377608299255,2.78842735290527,2.5397093296051,3.26074266433716,3.95834040641785,2.2805163860321,6.78841924667358,1.64844655990601,35466001,11030000,13805000,-26362500,50887500,12067500,60292500,22252500,19970000,-4117500,64407500,23540000,1687.30004882812,1048.09997558594,713.900024414062,15,3.29999995231628,7.30000019073486,32.2999992370605,565.099975585938,15.8000001907349,-6.80000019073486,22.6000003814697,10.3999996185303,-1.20000004768372,10.3999996185303,-3.09999990463257,1958.30004882812,195.699996948242,129.600006103516,13.5,578.799987792969,424.700012207031,578.799987792969,491,310.899993896484,-0.998260855674744,-0.300111144781113,1826.79748535156,-0.0138197150081396,-0.00388994044624269,0.770033121109009,17.4958076477051,-0.0121955871582031,0.244177922606468,0.1768798828125,0.05828857421875,0.02813720703125,0,0.0833927839994431,0,0,0,0,0,0,0,78051.890625,130,128
"175",3.61482858657837,2.74888372421265,2.09412217140198,3.27657628059387,4.10562419891357,2.18839955329895,6.92893600463867,1.59095728397369,192641992,2120000,6290000,-57875000,74860000,15155000,17217500,6112500,6547500,-3735000,20955000,6275000,1664.19995117188,1030,699,16,3.20000004768372,7.30000019073486,32.2999992370605,565,15.6999998092651,-6.90000009536743,22.6000003814697,10.3000001907349,-1.29999995231628,10.3000001907349,-3.09999990463257,1945.30004882812,194.300003051758,128.699996948242,13.5,574.599975585938,422.100006103516,574.599975585938,488,334.299987792969,0.0567240938544273,0.0223925746977329,1863.02746582031,-0.99656468629837,-0.404336810112,1.00999617576599,23.9368591308594,-0.0215721130371094,0.354715973138809,0,0,0,0,0,0,0,0,0,1,0,0,89379.1953125,125,123
"176",3.65473103523254,2.73457646369934,2.08044672012329,3.27895545959473,4.15444231033325,2.1790132522583,6.95069885253906,1.56399667263031,16208000,2030000,3305000,-25297500,42192500,8027500,8212500,2640000,2682500,-3505000,11717500,3172500,1653.90002441406,1022,692.5,16,3.20000004768372,7.30000019073486,32.2999992370605,564.200012207031,15.6000003814697,-6.90000009536743,22.6000003814697,10.1999998092651,-1.29999995231628,10.1999998092651,-3.09999990463257,1947.19995117188,194.5,128.800003051758,13.5,575.099975585938,422.5,575.099975585938,488.700012207031,333.799987792969,-0.123730577528477,-0.0602968670427799,1878.06494140625,-0.989076614379883,-0.47873118519783,1.33555769920349,28.9527549743652,0.0421867370605469,0.42388916015625,0,0,0,0,0,0,0,0,0,1,0,0,89676.234375,130,125
"177",3.76043629646301,2.71308636665344,2.08566308021545,3.28500151634216,4.2402515411377,2.16165208816528,6.98420810699463,1.52375590801239,40163999,3237500,2785000,-26490000,73407504,13257500,7272500,2120000,2252500,-3447500,10720000,2785000,1635,1007.20001220703,680.400024414062,16,3.09999990463257,7.19999980926514,32.2000007629395,564.200012207031,15.5,-7,22.5,10.1999998092651,-1.39999997615814,10.1999998092651,-3.20000004768372,1945.90002441406,194.300003051758,128.600006103516,13.5,574.700012207031,422.200012207031,574.700012207031,488.700012207031,329.5,-0.247247621417046,-0.124395281076431,1914.47497558594,-0.967141091823578,-0.48687356710434,1.34220373630524,30.2336502075195,0.00782012939453125,0.395833343267441,0,0,0,0,0,0,0,0,0,1,0,0,89292.859375,131,125
"178",3.53052067756653,2.75571632385254,2.33399486541748,3.25035881996155,4.13544130325317,2.19889831542969,6.89228296279907,1.49412107467651,67543999,2325000,3835000,-45175000,81502496,15890000,8087500,2582500,2080000,-4165000,12255000,3587500,1603,982,660,15,3,7.19999980926514,32.2000007629395,562.900024414062,15.3000001907349,-7.09999990463257,22.3999996185303,10,-1.5,10,-3.40000009536743,1970.09997558594,196.600006103516,130.100006103516,13.5,581.700012207031,427.299987792969,581.700012207031,495.200012207031,321.100006103516,-0.355171769857407,-0.16823436319828,1944.03247070312,-0.931215345859528,-0.453775107860565,1.42218697071075,29.1282577514648,0.0734329223632812,0.430964142084122,0,0,0,0,0,0,0,0,0,1,0,0,90345.9609375,135,128
"180",2.21177935600281,3.15411329269409,3.48538827896118,2.94288110733032,3.72006416320801,2.52613568305969,6.14526557922363,1.78658545017242,21913999,11520000,12020000,-7682500,29885000,8325000,65627500,25115000,22827500,-5612500,71240000,24610000,1660.69995117188,1027.19995117188,696.799987792969,12,3.20000004768372,7.19999980926514,32.2000007629395,565.200012207031,15.6000003814697,-6.90000009536743,22.5,10.3000001907349,-1.29999995231628,10.3000001907349,-3.09999990463257,1940.90002441406,194.399993896484,129.100006103516,13.5,574.400024414062,420.799987792969,574.400024414062,484.5,259.299987792969,0.869071841239929,0.2943215072155,1889.60998535156,0.494229793548584,0.167302280664444,1,19.7932777404785,-0.00499725341796875,0.286663472652435,0,0,0,0,0,0,0,0,0,0,0,0,68304.6015625,134,133
"182",2.20997738838196,3.18518662452698,3.58399772644043,2.88936567306519,3.67844319343567,2.51987528800964,5.79217338562012,1.8012797832489,148455996,17275000,11442500,-11935000,192544992,36437500,75730000,26950000,23487500,-5862500,81587504,28147500,1653.59997558594,1021.70001220703,692.099975585938,15,3.20000004768372,7.30000019073486,32.2999992370605,564.599975585938,15.6000003814697,-7,22.6000003814697,10.1999998092651,-1.39999997615814,10.1999998092651,-3.20000004768372,1915.19995117188,192,128.100006103516,13.5,567,415.600006103516,567,476.399993896484,304.5,0.33067774772644,0.0491193272173405,1937.2900390625,0.919965624809265,0.124652445316315,0.303317606449127,7.8769645690918,0.0331382751464844,0.0926293283700943,0.099365234375,0.02484130859375,0,0,0.0496826171875,0,0,0,0,0,0,0,73346.234375,141,141
"183",2.22374773025513,3.15161871910095,3.59572792053223,2.93203711509705,3.76926469802856,2.43403553962708,5.75686168670654,1.76156234741211,37648000,10975000,11737500,-19002500,50667500,10452500,54635000,19042500,16452500,-7120000,61757500,22250000,1677.30004882812,1040.40002441406,707.099975585938,15,3.29999995231628,7.30000019073486,32.4000015258789,566.099975585938,15.6999998092651,-6.90000009536743,22.6000003814697,10.3000001907349,-1.20000004768372,10.3000001907349,-3.09999990463257,1901.90002441406,190.800003051758,127.400001525879,13.5,563.299987792969,412.700012207031,563.299987792969,472.399993896484,310.799987792969,-0.386360019445419,-0.0206106677651405,1924.81506347656,0.871814966201782,0.051148384809494,0.183322489261627,3.31260848045349,-0.0221748352050781,0.0613844133913517,0.058349609375,0.01458740234375,0,0,0.0291748046875,0,0,0,0,0,0,0.0700000002980232,74036.890625,148,146
"184",2.16676807403564,3.1741030216217,3.53051352500916,2.95177817344666,3.7689688205719,2.49853253364563,5.93246698379517,1.82122933864594,29010000,10212500,10895000,-4280000,35025000,8887500,57355000,20022500,11607500,-6147500,63502500,23247500,1669.09997558594,1033.80004882812,701.799987792969,15,3.29999995231628,7.30000019073486,32.5,565.900024414062,15.6999998092651,-6.90000009536743,22.6000003814697,10.3999996185303,-1.29999995231628,10.3999996185303,-3.09999990463257,1890.09997558594,189.699996948242,126.900001525879,13.5,560,410.200012207031,560,468.700012207031,292.899993896484,0.326046496629715,0.0301734991371632,1950.88244628906,0.878852248191833,0.0731721445918083,0.324435770511627,4.84322071075439,0.0293655395507812,0.103049382567406,0,0,0,0,0,0,0,0,0,0,0,0.0900000035762787,76236.6171875,147,143
"186",2.47002100944519,3.08717584609985,3.33600878715515,3.04076480865479,3.84692811965942,2.53235530853271,6.07363033294678,1.65590262413025,87557998,11750000,15422500,-72397504,106987504,19680000,71727504,26617500,20767500,-6207500,77937504,27352500,1501.40002441406,903.700012207031,598.200012207031,12,2.5,7,31.6000003814697,560.900024414062,14.6999998092651,-7.40000009536743,22.2000007629395,9.5,-2.09999990463257,9.5,-3.70000004768372,2070.69995117188,207.600006103516,136.699996948242,13.8000001907349,614.099975585938,447.399993896484,614.099975585938,518.900024414062,283.5,-0.717215836048126,-0.050170823931694,1905.580078125,-0.677297294139862,-0.0476962588727474,0.23331706225872,4.02664804458618,0.00188446044921875,0.0693003311753273,0,0,0,0,0,0,0,0,0,0,0,0.889999985694885,77728.2890625,146,146
"187",2.52379608154297,3.00383234024048,3.2639012336731,3.09295630455017,3.87147641181946,2.46572780609131,6.23362445831299,1.68039762973785,69406001,9222500,14897500,-153567504,234984992,43725000,52440000,21327500,17372500,-6202500,58640000,21322500,1525.5,922.200012207031,612.799987792969,13,2.59999990463257,7,31.6000003814697,560.700012207031,14.8000001907349,-7.30000019073486,22.2000007629395,9.60000038146973,-1.89999997615814,9.60000038146973,-3.59999990463257,2067.30004882812,207.100006103516,136.199996948242,13.6999998092651,612.400024414062,446.899993896484,612.400024414062,518.900024414062,289.5,-0.831766843795776,-0.148690447211266,1904.15002441406,-0.547877788543701,-0.0959088578820229,0.501112222671509,10.2334575653076,0.0159454345703125,0.147226974368095,0.0128173828125,0.003204345703125,0,0,0.00640869140625,0,0,0,0,0,0,0,81093.4453125,143,143
"189",2.73767423629761,2.95366048812866,2.8502459526062,3.12315988540649,3.92866849899292,2.36967420578003,6.48744535446167,1.68674790859222,34242000,11387500,13812500,-47297500,84622496,15520000,61037500,20525000,13825000,-6270000,67305000,23042500,1411.69995117188,835.400024414062,544.400024414062,12,2.09999990463257,6.90000009536743,31.3999996185303,557.299987792969,14.1999998092651,-7.69999980926514,22,9.10000038146973,-2.5,9.10000038146973,-4.09999990463257,2097.10009765625,209.899993896484,137.5,13.8000001907349,620.900024414062,453.299987792969,620.900024414062,528.299987792969,274.299987792969,-0.867013812065125,-0.150087356567383,1946.76000976562,-0.492997884750366,-0.0836938917636871,0.426662862300873,9.9236478805542,-0.0209197998046875,0.125139027833939,0.251708984375,0.137939453125,0.10748291015625,0,0.116472691297531,0,0,0,0,0,0,0,79302.34375,142,142
"190",2.64048933982849,2.92497086524963,3.23141741752625,3.11268329620361,3.92403531074524,2.34598684310913,6.17757177352905,1.57924330234528,31820000,10787500,10542500,-7997500,42582500,9265000,53715000,16295000,4940000,-4415000,58137500,20777500,1367.90002441406,802.5,518.799987792969,11,1.89999997615814,6.80000019073486,31.2999992370605,555.700012207031,14,-7.90000009536743,21.8999996185303,8.89999961853027,-2.59999990463257,8.89999961853027,-4.30000019073486,2152.10009765625,215.600006103516,140.899993896484,13.8999996185303,638.299987792969,464.200012207031,638.299987792969,542.200012207031,250.600006103516,0.0895939618349075,0.00156173168215901,1993.93005371094,-0.00702475756406784,0.000321136554703116,0.21443684399128,1.83639192581177,-0.019989013671875,0.0659654438495636,0.4935302734375,0.347747802734375,0.268310546875,0.1685791015625,0.134086057543755,0,0,0,0,0,0,0,79134.1640625,147,147
"191",2.77746844291687,2.85204458236694,3.10970258712769,3.20596885681152,3.94961023330688,2.29037475585938,6.45559740066528,1.63512718677521,55970000,11717500,13420000,-41132500,89897504,16677500,58217500,18557500,8420000,-6362500,64577500,23590000,1363.5,799.299987792969,516.400024414062,11,1.89999997615814,6.90000009536743,31.3999996185303,557.299987792969,14,-8,22,8.89999961853027,-2.70000004768372,8.89999961853027,-4.30000019073486,2162.80004882812,216.699996948242,141.5,13.8999996185303,641.700012207031,466.200012207031,641.700012207031,544.900024414062,245.100006103516,0.063062995672226,0.00436426978558302,1992.91247558594,0.993084073066711,0.0642204806208611,0.174424916505814,3.71000289916992,-0.00502395629882812,0.0556861013174057,0.2467041015625,0.134796142578125,0.138916015625,0.0146484375,0.122517585754395,0,0,0,0,0,0,0,74269.1171875,147,147
"192",2.77746844291687,2.85204458236694,3.10970258712769,3.20596885681152,3.94961023330688,2.29037475585938,6.45559740066528,1.63512718677521,55970000,11717500,13420000,-41132500,89897504,16677500,58217500,18557500,8420000,-6362500,64577500,23590000,1363.5,799.299987792969,516.400024414062,11,1.89999997615814,6.90000009536743,31.3999996185303,557.299987792969,14,-8,22,8.89999961853027,-2.70000004768372,8.89999961853027,-4.30000019073486,2162.80004882812,216.699996948242,141.5,13.8999996185303,641.700012207031,466.200012207031,641.700012207031,544.900024414062,245.100006103516,-0.859202444553375,-0.025612972676754,1992.75756835938,0.32671445608139,0.0118560353294015,0.140028208494186,1.76018047332764,-0.0121803283691406,0.0416751429438591,0.1068115234375,0.026702880859375,0,0,0.05340576171875,0,0,0,0,0,0,0,77019.5234375,147,147
"193",2.88420414924622,2.83020687103271,2.97133874893188,3.23641872406006,3.95284056663513,2.27269053459167,6.4994683265686,1.63821816444397,20873999,10270000,11015000,-1930000,23060000,6905000,51837500,16855000,6515000,-5362500,57197500,20410000,1355.19995117188,793.299987792969,511.799987792969,11,1.89999997615814,6.90000009536743,31.2999992370605,557.200012207031,14,-8,22,8.80000019073486,-2.70000004768372,8.80000019073486,-4.30000019073486,2169.5,217.399993896484,141.899993896484,13.8999996185303,643.900024414062,467.600006103516,643.900024414062,546.599975585938,248.399993896484,-0.802245795726776,-0.116551712155342,2006.03503417969,-0.545001864433289,-0.0794459730386734,0.613362610340118,8.36494636535645,0.0265922546386719,0.190839976072311,0.3162841796875,0.160888671875,0.16363525390625,0,0.132702007889748,0,0,0,0,0.959999978542328,0,0,76878.9453125,146,146
"194",2.39678478240967,3.0644805431366,3.31037473678589,3.07257103919983,3.92708969116211,2.56377053260803,6.21176862716675,1.72903227806091,145250000,-5207500,11740000,-544750016,721157504,119197500,45637500,13735000,4065000,-4247500,49887500,17500000,1328.19995117188,773.700012207031,496.700012207031,10,1.70000004768372,6.90000009536743,31.3999996185303,559.700012207031,13.8999996185303,-8.19999980926514,22.1000003814697,8.69999980926514,-2.90000009536743,8.69999980926514,-4.5,2174.30004882812,217.899993896484,142.199996948242,14.1000003814697,646.900024414062,467.600006103516,646.900024414062,547,241,-0.889098346233368,-0.160929933190346,2033.93969726562,-0.450687557458878,-0.082655057311058,0.443535685539246,10.4554891586304,-0.0127487182617188,0.132334396243095,0,0,0,0,0,0,0,0,0,0,0,0,79636.3359375,146,145
"195",2.34428811073303,3.06400799751282,3.37637376785278,3.06038451194763,3.92028021812439,2.59021830558777,6.1786642074585,1.74510443210602,34480000,10537500,12592500,-15820000,50280000,11530000,48447500,15750000,6480000,-6040000,54487500,18957500,1324.80004882812,771.200012207031,494.700012207031,10,1.70000004768372,6.90000009536743,31.3999996185303,559.5,13.8999996185303,-8.19999980926514,22.1000003814697,8.69999980926514,-2.90000009536743,8.69999980926514,-4.5,2167,217.199996948242,141.899993896484,14.1000003814697,644.900024414062,466,644.900024414062,544.799987792969,243.300003051758,-0.469239354133606,-0.0432819239795208,2036.01770019531,-0.879991054534912,-0.0805106908082962,0.199761286377907,5.25864362716675,-0.00625991821289062,0.0631629079580307,0.7327880859375,0.64825439453125,0.6748046875,0.5106201171875,0.104693233966827,0,0,0,0,0,0,0,78860.1796875,146,142
"197",2.44278454780579,3.06234931945801,3.46023344993591,2.97330355644226,3.85085988044739,2.40604901313782,6.03272676467896,1.68065118789673,28832000,-4732500,12182500,-387260000,417182496,79677500,60517500,18187500,8305000,-6087500,66607500,24180000,1353.30004882812,792.299987792969,511.399993896484,11,1.89999997615814,6.80000019073486,31.2000007629395,558.400024414062,14,-8,22,8.80000019073486,-2.70000004768372,8.80000019073486,-4.30000019073486,2163.69995117188,217.100006103516,142.300003051758,14.1000003814697,644,465.399993896484,644,542.299987792969,260.100006103516,-0.982035994529724,-0.0575713627040386,2083.69604492188,0.188263192772865,0.0110359769314528,0.156222879886627,3.36085367202759,-4.57763671875e-05,0.0497979074716568,0.18017578125,0.0892333984375,0.08837890625,0,0.077862486243248,0,0,0,0,0,0,0,78280.6015625,144,142
"198",2.25766968727112,3.15812492370605,3.45196509361267,2.96735811233521,3.89334797859192,2.39094209671021,6.06368684768677,1.79777789115906,173031992,-5615000,10887500,-291342496,342072512,78432500,51950000,13637500,6717500,-6447500,58397500,20320000,1383.40002441406,814.5,528.5,10,2,6.90000009536743,31.3999996185303,557.5,14.1000003814697,-7.80000019073486,21.8999996185303,9,-2.59999990463257,9,-4.19999980926514,2142.60009765625,215.100006103516,141.199996948242,14,637.400024414062,461.200012207031,637.400024414062,536.299987792969,230.899993896484,0.433724641799927,0.0479674823582172,2068.56787109375,0.90104478597641,0.0996504351496696,0.287543416023254,6.34957647323608,0,0.0881449356675148,0,0,0,0,0,0,0,0,0,0,0,0,66468.9296875,156,156
"199",2.14173054695129,3.28121709823608,3.4737024307251,2.9420268535614,3.93707036972046,2.42570924758911,6.10238218307495,1.94180738925934,56666001,9407500,9852500,-14255000,52687500,10780000,39947500,8262500,-565000,-5660000,45605000,15642500,1402.80004882812,829.400024414062,540.299987792969,11,2.09999990463257,6.80000019073486,31.2999992370605,559.299987792969,14.1999998092651,-7.80000019073486,22,9.10000038146973,-2.5,9.10000038146973,-4.09999990463257,2138,214.899993896484,141.300003051758,14.1000003814697,637.200012207031,459.799987792969,637.200012207031,533.599975585938,267.399993896484,-0.595420897006989,-0.039145365357399,2080.70849609375,0.803165555000305,0.0528028458356857,0.178982198238373,3.76955461502075,-6.866455078125e-05,0.0481330007314682,0,0,0,0,0,0,0,0,0,1,0,0,79695.1875,159,159
"200",2.8595974445343,2.85726404190063,3.1587929725647,3.12323474884033,4.03438758850098,2.18716812133789,6.32958745956421,1.56977128982544,188138008,20837500,12692500,-52797500,283112512,61272500,51535000,12262500,147500,-6252500,57790000,19240000,1402.59997558594,829.299987792969,540.5,11,2.09999990463257,6.80000019073486,31.2999992370605,558.900024414062,14.1999998092651,-7.80000019073486,22,9.10000038146973,-2.5,9.10000038146973,-4.09999990463257,2135.80004882812,214.800003051758,141.5,14.1999998092651,637.5,458.700012207031,637.5,531.5,266.100006103516,-0.812056541442871,-0.149098217487335,2099.65869140625,-0.541126847267151,-0.0972977429628372,0.435329854488373,10.5246820449829,-0.0648727416992188,0.135647237300873,0,0,0,0,0,0,0,0,0,0,0,0,75843.0703125,156,155
"201",2.69119071960449,3.01726078987122,3.22689533233643,3.05879902839661,3.92403221130371,2.41035866737366,6.23338890075684,1.62529170513153,50507998,1707500,13437500,-263977504,320744992,65945000,55902500,18742500,8097500,-6387500,62287500,22885000,1385.30004882812,815.700012207031,529.299987792969,11,2,6.80000019073486,31.3999996185303,556.599975585938,14.1000003814697,-7.80000019073486,21.8999996185303,9,-2.59999990463257,9,-4.19999980926514,2128.30004882812,213.399993896484,139.899993896484,13.8999996185303,631.799987792969,459,631.799987792969,534.299987792969,263,0.521121442317963,0.0234243590384722,1976.61999511719,0.734186232089996,0.0296706482768059,0.10888671875,2.39895224571228,-0.0128326416015625,0.0324995256960392,0.246826171875,0.1011962890625,0.0789794921875,0,0.122353918850422,0,0,0,0,1,0,0,78356.8515625,152,151
